hospital,procedure_name,code_type,code,range_start,range_end,match_offset,source_url,sample_text
Providence Cedars-Sinai Tarzana Medical Center,Appendectomy,DRG,341,190000000,198679442,1975680,https://pricetransparency.providence.org/socal/live/833972614_providence-cedars-sinai-tarzana-medical-center_standardcharges.json,"op Loss: Total Charges > 266200 | Total % of Charge: 51.07 | Not to Exceed Dollar: 16259] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section 4 day stay-Case Rate: 16271 Days: 4 Additional Days: 4450] [Normal vag. Del. 2 day stay-Case Rate: 13143 Days: 2 Additional Days: 4450] [Nursery  Level 1- Boarder-Per Diem: 1098] [Nursery  Level 2-Per Diem: 7342] [Nursery  Level 3-Per Diem: 7342] [Nursery  Level 4-NICU-Per Diem: 7342] [Rehab-Per Diem: 4737] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 3993 (%BC): 54.55]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Wellcare"",""plan_name"":""Medicare Managed Care Plan"",""methodology"":""other"",""standard_charge_algorithm"":""[MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""}]}]},{""description"":""Appendectomy Without Complicated Principal Diagnosis With Mcc"",""code_information"":[{""code"":""341"",""type"":""MS-DRG""}],""standard_charges"":[{""setting"":""inpatient"",""billing_class"":""facility"",""minimum"":27683.22,""maximum"":137246.0,""payers_information"":[{""payer_name"":""Blue Shield"",""plan_name"":""Epn/Ifp Benefit Exchange"",""methodology"":""fee schedule"",""standard_charge_dollar"":27683.22},{""payer_name"":""Blue Shield"",""plan_name"":""Hmo/Ppo/Epo"",""methodology"":""fee schedule"",""standard_charge_dollar"":42590.29},{""payer_name"":""Blue Shield"",""plan_name"":""Tandem Ppo/Blue High Performance Ppo/Epo"",""methodology"":""fee schedule"",""standard_charge_dollar"":38330.79},{""payer_name"":""Cigna"",""plan_name"":""Oap Hmo/Pos"",""methodology"":""fee schedule"",""standard_charge_dollar"":36979.89},{""payer_name"":""Cigna"",""plan_name"":""Ppo"",""methodology"":""fee schedule"",""standard_charge_dollar"":41561.45},{""payer_name"":""First Health/Coventry"",""plan_name"":""Coventry All Commercial Plans"",""methodology"":""fee schedule"",""standard_charge_dollar"":137246.0}]},{""setting"":""inpatient"",""billing_class"":""facility"",""payers_information"":[{""payer_name"":""Aetna"",""plan_name"":""All Commercial Plans"",""methodology"":""other"",""standard_charge_algorithm"":""[Stop Loss: Total Charges > BasePayment * 5.043 | Excess % of Charge: 24.4] [Lesser Than Charges paid at %: 90.9] [MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Aetna"",""plan_name"":""Medicare Managed Care Plan"",""methodology"":""other"",""standard_charge_algorithm"":""[MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Blue Cross"",""plan_name"":""All Commercial Plans"",""methodology"":""other"",""standard_charge_algorithm"":""[Stop Loss: Total Charges > 277057 | Total % of Charge: 64.67 | Not to Exceed Dollar: 13739] [Lesser Than Charges paid at %: 100] [Medical-Per Diem: 8476] [Surgical-Per Diem: 8476] [ICU-Per Diem: 11476] [CCU-Per Diem: 11452] [C-Section 3 day stay-Case Rate: 18984 Days: 3 Additional Days: 7146] [Normal"
Providence Holy Cross Medical Center,Appendectomy,DRG,341,210000000,219999999,8036182,https://pricetransparency.providence.org/socal/live/954582647_providence-holy-cross-medical-center_standardcharges.json,"> 235935 | Total % of Charge: 68.43 | Not to Exceed Dollar: 19314] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section 4 day stay-Case Rate: 18475 Days: 4 Additional Days: 5052] [Normal vag. Del. 2 day stay-Case Rate: 14924 Days: 2 Additional Days: 5052] [Nursery  Level 1- Boarder-Per Diem: 1303] [Nursery  Level 2-Per Diem: 8721] [Nursery  Level 3-Per Diem: 8721] [Nursery  Level 4-NICU-Per Diem: 8721] [Rehab-Per Diem: 5627] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 3540 (%BC): 73.12] [Trauma  (%BC): 89.15]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Wellcare"",""plan_name"":""Medicare Managed Care Plan"",""methodology"":""other"",""standard_charge_algorithm"":""[MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""}]}]},{""description"":""Appendectomy Without Complicated Principal Diagnosis With Mcc"",""code_information"":[{""code"":""341"",""type"":""MS-DRG""}],""standard_charges"":[{""setting"":""inpatient"",""billing_class"":""facility"",""minimum"":29811.81,""maximum"":137246.0,""payers_information"":[{""payer_name"":""Blue Shield"",""plan_name"":""Epn/Ifp Benefit Exchange"",""methodology"":""fee schedule"",""standard_charge_dollar"":29811.81},{""payer_name"":""Blue Shield"",""plan_name"":""Hmo/Ppo/Epo"",""methodology"":""fee schedule"",""standard_charge_dollar"":44853.21},{""payer_name"":""Blue Shield"",""plan_name"":""Tandem Ppo/Blue High Performance Ppo/Epo"",""methodology"":""fee schedule"",""standard_charge_dollar"":40366.73},{""payer_name"":""Cigna"",""plan_name"":""Oap Hmo/Pos"",""methodology"":""fee schedule"",""standard_charge_dollar"":30226.51},{""payer_name"":""Cigna"",""plan_name"":""Ppo"",""methodology"":""fee schedule"",""standard_charge_dollar"":35370.85},{""payer_name"":""First Health/Coventry"",""plan_name"":""Coventry All Commercial Plans"",""methodology"":""fee schedule"",""standard_charge_dollar"":137246.0}]},{""setting"":""inpatient"",""billing_class"":""facility"",""payers_information"":[{""payer_name"":""Aetna"",""plan_name"":""All Commercial Plans"",""methodology"":""other"",""standard_charge_algorithm"":""[Stop Loss: Total Charges > BasePayment * 5.5 | Excess % of Charge: 42.3] [Lesser Than Charges paid at %: 93.5] [MSDRG Base Rate: FEE SCHEDULE] [Trauma  (%BC): 47.4]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Aetna"",""plan_name"":""Medicare Managed Care Plan"",""methodology"":""other"",""standard_charge_algorithm"":""[MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Blue Cross"",""plan_name"":""All Commercial Plans"",""methodology"":""other"",""standard_charge_algorithm"":""[Stop Loss: Total Charges > 248746 | Total % of Charge: 72.72 | Not to Exceed Dollar: 10351] [Lesser Than Charges paid at %: 100] [Medical-Per Diem: 7007] [Surgical-Per Diem: 7007] [ICU-Per Diem: 10669] [CCU-Per Diem: 10669] [C-Section 3 day stay-Case Rate: 13711 Days: 3 Additional"
Providence Saint Joseph Medical Center,Appendectomy,DRG,341,210000000,219999999,7832285,https://pricetransparency.providence.org/socal/live/951675600_providence-st-joseph-medical-center_standardcharges.json,"op Loss: Total Charges > 235935 | Total % of Charge: 58.71 | Not to Exceed Dollar: 16565] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section 4 day stay-Case Rate: 17133 Days: 4 Additional Days: 4685] [Normal vag. Del. 2 day stay-Case Rate: 13838 Days: 2 Additional Days: 4685] [Nursery  Level 1- Boarder-Per Diem: 1157] [Nursery  Level 2-Per Diem: 7731] [Nursery  Level 3-Per Diem: 7731] [Nursery  Level 4-NICU-Per Diem: 7731] [Rehab-Per Diem: 4989] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 3540 (%BC): 62.71]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Wellcare"",""plan_name"":""Medicare Managed Care Plan"",""methodology"":""other"",""standard_charge_algorithm"":""[MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""}]}]},{""description"":""Appendectomy Without Complicated Principal Diagnosis With Mcc"",""code_information"":[{""code"":""341"",""type"":""MS-DRG""}],""standard_charges"":[{""setting"":""inpatient"",""billing_class"":""facility"",""minimum"":32473.12,""maximum"":137246.0,""payers_information"":[{""payer_name"":""Blue Shield"",""plan_name"":""Epn/Ifp Benefit Exchange"",""methodology"":""fee schedule"",""standard_charge_dollar"":32473.12},{""payer_name"":""Blue Shield"",""plan_name"":""Hmo/Ppo/Epo"",""methodology"":""fee schedule"",""standard_charge_dollar"":56962.31},{""payer_name"":""Blue Shield"",""plan_name"":""Tandem Ppo/Blue High Performance Ppo/Epo"",""methodology"":""fee schedule"",""standard_charge_dollar"":51266.77},{""payer_name"":""Cigna"",""plan_name"":""Oap Hmo/Pos"",""methodology"":""fee schedule"",""standard_charge_dollar"":35255.73},{""payer_name"":""Cigna"",""plan_name"":""Ppo"",""methodology"":""fee schedule"",""standard_charge_dollar"":43270.26},{""payer_name"":""First Health/Coventry"",""plan_name"":""Coventry All Commercial Plans"",""methodology"":""fee schedule"",""standard_charge_dollar"":137246.0}]},{""setting"":""inpatient"",""billing_class"":""facility"",""payers_information"":[{""payer_name"":""Aetna"",""plan_name"":""Aco Other Commercial Plan"",""methodology"":""other"",""standard_charge_algorithm"":""[Stop Loss: Total Charges > BasePayment * 4.56 | Excess % of Charge: 33.4] [Lesser Than Charges paid at %: 93.5] [MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Aetna"",""plan_name"":""All Commercial Plans"",""methodology"":""other"",""standard_charge_algorithm"":""[Stop Loss: Total Charges > BasePayment * 5.3 | Excess % of Charge: 41.4] [Lesser Than Charges paid at %: 93.5] [MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Aetna"",""plan_name"":""Medicare Managed Care Plan"",""methodology"":""other"",""standard_charge_algorithm"":""[MSDRG Base Rate: FEE SCHEDULE]"",""count"":""0"",""additional_payer_notes"":""No services performed during 15-month lookback period.""},{""payer_name"":""Blue Cross"",""plan_name"":""All Commercial Plans"","""
