hospital,procedure_name,code_type,code,row_number,source_url,sample_line
Rady Children's Hospital,CT abdomen and pelvis,CPT,74176,7742,https://www.rchsd.org/wp-content/uploads/2026/03/95-1691313_rady-childrens-hospital-san-diego_standardcharges.csv,"{'description': 'Rch Ct-Abdomen And Pelvis W/O Contrast', 'code|1': '00103107', 'code|1|type': 'CDM', 'code|2': '350', 'code|2|type': 'RC', 'code|3': '74176', 'code|3|type': 'HCPCS', 'billing_class': 'facility', 'setting': 'both', 'drug_unit_of_measurement': '', 'drug_type_of_measurement': '', 'modifiers': 'TC', 'standard_charge|gross': '6983', 'standard_charge|discounted_cash': '5237.25', 'payer_name': '', 'plan_name': '', 'standard_charge|negotiated_dollar': '', 'standard_charge|negotiated_percentage': '', 'standard_charge|negotiated_algorithm': '', 'median_amount': '', '10th_percentile': '', '90th_percentile': '', 'count': '', 'standard_charge|methodology': '', 'standard_charge|min': '', 'standard_charge|max': '', 'additional_generic_notes': ""Gross Charge Type: Standard | The modified price is presented in the standard charge value. | Modifier TC: Technical Component; represents the costs of equipment, supplies, and technician personnel for a procedure, excluding the physician's interpretation. It is used when only the technical portion of a test is billed, typically by hospitals, imaging centers, or independent diagnostic testing facilities""}"
Rady Children's Hospital,Emergency department visit,CPT,99285,12402,https://www.rchsd.org/wp-content/uploads/2026/03/95-1691313_rady-childrens-hospital-san-diego_standardcharges.csv,"{'description': 'Rch Ed Visit Level V', 'code|1': '450000005', 'code|1|type': 'CDM', 'code|2': '450', 'code|2|type': 'RC', 'code|3': '99285', 'code|3|type': 'HCPCS', 'billing_class': 'facility', 'setting': 'both', 'drug_unit_of_measurement': '', 'drug_type_of_measurement': '', 'modifiers': '', 'standard_charge|gross': '5400', 'standard_charge|discounted_cash': '4050', 'payer_name': '', 'plan_name': '', 'standard_charge|negotiated_dollar': '', 'standard_charge|negotiated_percentage': '', 'standard_charge|negotiated_algorithm': '', 'median_amount': '', '10th_percentile': '', '90th_percentile': '', 'count': '', 'standard_charge|methodology': '', 'standard_charge|min': '', 'standard_charge|max': '', 'additional_generic_notes': 'Gross Charge Type: Standard'}"
Rady Children's Hospital,Brain MRI,CPT,70551,15513,https://www.rchsd.org/wp-content/uploads/2026/03/95-1691313_rady-childrens-hospital-san-diego_standardcharges.csv,"{'description': 'Rch Mri-Brain W/O Contrast', 'code|1': '80170551', 'code|1|type': 'CDM', 'code|2': '611', 'code|2|type': 'RC', 'code|3': '70551', 'code|3|type': 'HCPCS', 'billing_class': 'facility', 'setting': 'both', 'drug_unit_of_measurement': '', 'drug_type_of_measurement': '', 'modifiers': 'TC', 'standard_charge|gross': '4620', 'standard_charge|discounted_cash': '3465', 'payer_name': '', 'plan_name': '', 'standard_charge|negotiated_dollar': '', 'standard_charge|negotiated_percentage': '', 'standard_charge|negotiated_algorithm': '', 'median_amount': '', '10th_percentile': '', '90th_percentile': '', 'count': '', 'standard_charge|methodology': '', 'standard_charge|min': '', 'standard_charge|max': '', 'additional_generic_notes': ""Gross Charge Type: Standard | The modified price is presented in the standard charge value. | Modifier TC: Technical Component; represents the costs of equipment, supplies, and technician personnel for a procedure, excluding the physician's interpretation. It is used when only the technical portion of a test is billed, typically by hospitals, imaging centers, or independent diagnostic testing facilities""}"
Rady Children's Hospital,Colonoscopy,CPT,45378,51700,https://www.rchsd.org/wp-content/uploads/2026/03/95-1691313_rady-childrens-hospital-san-diego_standardcharges.csv,"{'description': 'Diagnostic colonoscopy', 'code|1': '45378', 'code|1|type': 'HCPCS', 'code|2': '', 'code|2|type': '', 'code|3': '', 'code|3|type': '', 'billing_class': 'facility', 'setting': 'outpatient', 'drug_unit_of_measurement': '', 'drug_type_of_measurement': '', 'modifiers': '', 'standard_charge|gross': '', 'standard_charge|discounted_cash': '', 'payer_name': 'Blue Cross', 'plan_name': 'Anthem Select Hmo', 'standard_charge|negotiated_dollar': '4563', 'standard_charge|negotiated_percentage': '', 'standard_charge|negotiated_algorithm': '', 'median_amount': '', '10th_percentile': '', '90th_percentile': '', 'count': '', 'standard_charge|methodology': 'fee schedule', 'standard_charge|min': '4563', 'standard_charge|max': '9420', 'additional_generic_notes': ''}"
