hospital,procedure_name,code_type,code,description,setting,display_price,display_price_type,gross_price,cash_price,negotiated_price,negotiated_min,negotiated_max,payer_name,plan_name,data_quality_flag,user_relevance_flag,user_relevance_reason,source_url,evidence_source
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2114.22,negotiated,4058.0,2231.9,2114.22,164.02,5478.3,CIGNA [1023],CIGNA PPO,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,486.96,negotiated,4058.0,2231.9,486.96,164.02,5478.3,MC SCAN HMO [164035],UC MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2029.0,negotiated,4058.0,2231.9,2029.0,164.02,5478.3,GLOBAL EXCEL [1036],GLOBAL EXCEL,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,266.8,negotiated,4058.0,2231.9,266.8,164.02,5478.3,SD PHYSICIANS MED GRP [1076],UCSD HB NON-CONTRACTED MEDI-CAL MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,266.8,negotiated,4058.0,2231.9,266.8,164.02,5478.3,CALIFORNIA HEALTH & WELLNESS MEDI-CAL [1122],CALIFORNIA HEALTH AND WELLNESS MEDI-CAL (no longer Medi-Cal plan as of 1/1/24),ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,1576.53,negotiated,4058.0,2231.9,1576.53,164.02,5478.3,UNITED HEALTHCARE [1088],UNITED HEALTHCARE MID-COUNTY PHYSICIANS NARROW NETWORK,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,486.96,negotiated,4058.0,2231.9,486.96,164.02,5478.3,UC AFF BLUE SHIELD SR/SDSM [164037],UC MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2637.7,negotiated,4058.0,2231.9,2637.7,164.02,5478.3,SD PHYSICIANS MED GRP [1076],SD PHYSICIANS MED GRP [10760001],ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2662.05,negotiated,4058.0,2231.9,2662.05,164.02,5478.3,GRAYBILL MED GRP [1037],SHARP HEALTH CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,1704.36,negotiated,4058.0,2231.9,1704.36,164.02,5478.3,BLUE CROSS [1013],BLUE CROSS HOUSE STAFF,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2637.7,negotiated,4058.0,2231.9,2637.7,164.02,5478.3,ETS - LIFETRAC NETWORK [1103],LIFETRAC,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,266.8,negotiated,4058.0,2231.9,266.8,164.02,5478.3,STATE OF CALIFORNIA [1082],UCSD HB NON-CONTRACTED MEDI-CAL MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
